"Plot Title: Node Dataset"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20714339, SEN S/N: 20714339-1, LBL: N3 Temp)","RH, % (LGR S/N: 20714339, SEN S/N: 20714339-2, LBL: N3 Humid)","Temp, °F (LGR S/N: 20714349, SEN S/N: 20714349-1, LBL: N1 Temp)","RH, % (LGR S/N: 20714349, SEN S/N: 20714349-2, LBL: N1 Humid)","DewPt, °F (LGR S/N: 20714339, SEN S/N: 20714339-x)","DewPt, °F (LGR S/N: 20714349, SEN S/N: 20714349-x)"
1,05/05/20 09:41:00 AM,65.745,26.904,70.372,23.847,30.794,31.743
2,05/05/20 09:42:00 AM,65.872,26.709,70.286,23.979,30.723,31.808
3,05/05/20 09:43:00 AM,65.829,26.774,70.201,24.112,30.746,31.873
4,05/05/20 09:44:00 AM,65.959,26.846,70.115,24.109,30.924,31.797
5,05/05/20 09:45:00 AM,66.043,26.716,70.072,24.209,30.876,31.863
6,05/05/20 09:46:00 AM,65.959,26.511,70.072,24.175,30.614,31.829
7,05/05/20 09:47:00 AM,65.829,26.908,70.072,24.107,30.869,31.759
8,05/05/20 09:48:00 AM,66.087,26.986,69.942,24.204,31.161,31.749
9,05/05/20 09:49:00 AM,66.087,26.650,69.901,24.339,30.852,31.852
10,05/05/20 09:50:00 AM,66.000,26.714,69.901,24.373,30.837,31.886
11,05/05/20 09:51:00 AM,65.916,26.845,69.901,24.373,30.886,31.886
12,05/05/20 09:52:00 AM,65.788,26.705,69.901,24.237,30.648,31.748
13,05/05/20 09:53:00 AM,65.872,27.145,69.858,24.235,31.122,31.709
14,05/05/20 09:54:00 AM,65.788,26.839,69.858,24.303,30.771,31.779
15,05/05/20 09:55:00 AM,65.701,26.903,69.858,24.405,30.755,31.882
16,05/05/20 09:56:00 AM,65.658,26.968,69.814,24.437,30.778,31.878
17,05/05/20 09:57:00 AM,65.530,26.895,69.771,24.470,30.601,31.875
18,05/05/20 09:58:00 AM,65.487,27.128,69.728,24.434,30.777,31.802
19,05/05/20 09:59:00 AM,65.487,27.061,69.685,24.432,30.716,31.764
20,05/05/20 10:00:00 AM,65.530,26.862,69.728,24.434,30.571,31.802
21,05/05/20 10:01:00 AM,65.316,27.221,69.728,24.366,30.715,31.733
22,05/05/20 10:02:00 AM,65.658,27.236,69.643,24.397,31.021,31.693
23,05/05/20 10:03:00 AM,65.574,26.964,69.643,24.431,30.702,31.727
24,05/05/20 10:04:00 AM,65.615,27.000,69.600,24.463,30.770,31.723
25,05/05/20 10:05:00 AM,65.615,26.865,69.643,24.498,30.647,31.795
26,05/05/20 10:06:00 AM,65.574,27.232,69.643,24.363,30.946,31.658
27,05/05/20 10:07:00 AM,65.788,27.074,69.471,24.492,30.986,31.643
28,05/05/20 10:08:00 AM,65.745,27.039,69.427,24.558,30.917,31.673
29,05/05/20 10:09:00 AM,65.788,26.973,69.427,24.728,30.894,31.844
30,05/05/20 10:10:00 AM,65.788,27.040,69.386,24.760,30.955,31.841
31,05/05/20 10:11:00 AM,65.658,26.968,69.471,24.797,30.778,31.950
32,05/05/20 10:12:00 AM,65.487,27.095,69.600,24.700,30.747,31.962
33,05/05/20 10:13:00 AM,66.000,27.418,69.643,24.634,31.479,31.932
34,05/05/20 10:14:00 AM,66.558,26.805,69.814,24.641,31.398,32.084
35,05/05/20 10:15:00 AM,67.028,26.488,70.029,24.514,31.506,32.137
36,05/05/20 10:16:00 AM,67.500,25.969,70.201,24.452,31.419,32.220
37,05/05/20 10:17:00 AM,67.842,25.781,70.329,24.321,31.530,32.195
38,05/05/20 10:18:00 AM,68.142,25.523,70.459,24.190,31.537,32.170
39,05/05/20 10:19:00 AM,68.356,25.261,70.587,24.093,31.463,32.179
40,05/05/20 10:20:00 AM,68.484,25.131,70.759,23.998,31.445,32.226
41,05/05/20 10:21:00 AM,68.657,25.138,70.846,23.865,31.598,32.161
42,05/05/20 10:22:00 AM,68.871,25.112,70.930,23.800,31.754,32.164
43,05/05/20 10:23:00 AM,68.956,24.878,70.974,23.733,31.594,32.132
44,05/05/20 10:24:00 AM,69.085,24.816,71.017,23.667,31.642,32.099
45,05/05/20 10:25:00 AM,69.213,24.753,71.060,23.600,31.687,32.065
46,05/05/20 10:26:00 AM,69.300,24.485,71.190,23.605,31.492,32.179
47,05/05/20 10:27:00 AM,69.343,24.385,71.361,23.475,31.427,32.186
48,05/05/20 10:28:00 AM,69.427,24.626,71.317,23.405,31.741,32.075
49,05/05/20 10:29:00 AM,69.514,24.222,71.404,23.477,31.406,32.224
50,05/05/20 10:30:00 AM,69.557,24.257,71.447,23.478,31.478,32.262
51,05/05/20 10:31:00 AM,69.643,24.091,71.490,23.411,31.381,32.227
52,05/05/20 10:32:00 AM,69.685,24.228,71.533,23.345,31.556,32.193
53,05/05/20 10:33:00 AM,69.728,24.094,71.577,23.346,31.455,32.231
54,05/05/20 10:34:00 AM,69.771,24.096,71.620,23.348,31.494,32.269
55,05/05/20 10:35:00 AM,69.814,24.165,71.661,23.350,31.601,32.306
56,05/05/20 10:36:00 AM,69.901,24.033,,,31.539,
57,05/05/20 10:37:00 AM,69.942,24.340,,,31.887,
58,05/05/20 10:38:00 AM,70.072,24.277,,,31.933,
59,05/05/20 10:39:00 AM,70.115,24.109,,,31.797,
60,05/05/20 10:40:00 AM,70.072,24.039,,,31.689,
